Origem;UF_Origem;Destino;UF_Destino;Passageiros(PAX);viagens necessárias em regime de eficiência (ICM);empresas;classificação do mercado
Abadia Dos Dourados;MG;Sao Paulo;SP;3;1;1;SUBSIDIÁRIO
Abadiania;GO;Barra Do Garcas;MT;1;1;2;SUBSIDIÁRIO
Abadiania;GO;Bom Jesus Da Lapa;BA;120;5;3;SUBSIDIÁRIO
Abadiania;GO;Brasilia;DF;5760;206;6;SUBSIDIÁRIO
Abadiania;GO;Brumado;BA;9;1;3;SUBSIDIÁRIO
Abadiania;GO;Caetite;BA;2;1;3;SUBSIDIÁRIO
Abadiania;GO;Cuiaba;MT;2;1;2;SUBSIDIÁRIO
Abadiania;GO;Eunapolis;BA;10;1;2;SUBSIDIÁRIO
Abadiania;GO;Itapetinga;BA;10;1;2;SUBSIDIÁRIO
Abadiania;GO;Itarantim;BA;2;1;2;SUBSIDIÁRIO
Abadiania;GO;Porto Seguro;BA;4;1;2;SUBSIDIÁRIO
Abadiania;GO;Santa Maria Da Vitoria;BA;3;1;4;SUBSIDIÁRIO
Abadiania;GO;Vitoria Da Conquista;BA;265;10;3;SUBSIDIÁRIO
Abaira;BA;Sao Paulo;SP;29;2;1;SUBSIDIÁRIO
Abelardo Luz;SC;Agua Boa;MT;1;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Americana;SP;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Andradina;SP;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Assis Chateaubriand;PR;193;7;1;SUBSIDIÁRIO
Abelardo Luz;SC;Barao De Cotegipe;RS;14;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Brasilia;DF;9;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Campinas;SP;80;3;1;SUBSIDIÁRIO
Abelardo Luz;SC;Campo Mourao;PR;214;8;1;SUBSIDIÁRIO
Abelardo Luz;SC;Canarana;MT;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Capitao Leonidas Marques;PR;3;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Carazinho;RS;4;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Casca;RS;5;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Cascavel;PR;396;15;4;SUBSIDIÁRIO
Abelardo Luz;SC;Caxias Do Sul;RS;165;6;1;SUBSIDIÁRIO
Abelardo Luz;SC;Ceu Azul;PR;24;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Cianorte;PR;137;5;1;SUBSIDIÁRIO
Abelardo Luz;SC;Clevelandia;PR;661;24;3;SUBSIDIÁRIO
Abelardo Luz;SC;Cristalina;GO;8;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Cruz Alta;RS;17;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Curitiba;PR;255;10;2;SUBSIDIÁRIO
Abelardo Luz;SC;Erechim;RS;204;8;1;SUBSIDIÁRIO
Abelardo Luz;SC;Erval Grande;RS;60;3;1;SUBSIDIÁRIO
Abelardo Luz;SC;Estrela;RS;6;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Formosa;GO;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Foz Do Iguacu;PR;149;6;1;SUBSIDIÁRIO
Abelardo Luz;SC;Francisco Beltrao;PR;275;10;2;SUBSIDIÁRIO
Abelardo Luz;SC;Frederico Westphalen;RS;59;3;2;SUBSIDIÁRIO
Abelardo Luz;SC;Getulio Vargas;RS;51;2;1;SUBSIDIÁRIO
Abelardo Luz;SC;Guaira;PR;30;2;2;SUBSIDIÁRIO
Abelardo Luz;SC;Irai;RS;100;4;2;SUBSIDIÁRIO
Abelardo Luz;SC;Jatai;GO;8;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Jundiai;SP;9;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Lajeado;RS;79;3;1;SUBSIDIÁRIO
Abelardo Luz;SC;Luis Eduardo Magalhaes;BA;1;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Marau;RS;34;2;1;SUBSIDIÁRIO
Abelardo Luz;SC;Maringa;PR;1691;61;2;SUBSIDIÁRIO
Abelardo Luz;SC;Mariopolis;PR;66;3;1;SUBSIDIÁRIO
Abelardo Luz;SC;Marmeleiro;PR;9;1;2;SUBSIDIÁRIO
Abelardo Luz;SC;Matelandia;PR;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Nonoai;RS;408;15;2;SUBSIDIÁRIO
Abelardo Luz;SC;Nova Araca;RS;9;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Nova Bassano;RS;17;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Nova Prata;RS;12;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Palmeira Das Missoes;RS;4;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Panambi;RS;21;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Paranaiba;MS;18;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Passo Fundo;RS;210;8;1;SUBSIDIÁRIO
Abelardo Luz;SC;Pato Branco;PR;2254;81;2;SUBSIDIÁRIO
Abelardo Luz;SC;Piracicaba;SP;13;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Porto Alegre;RS;847;31;1;SUBSIDIÁRIO
Abelardo Luz;SC;Presidente Prudente;SP;132;5;2;SUBSIDIÁRIO
Abelardo Luz;SC;Querencia;MT;8;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Realeza;PR;17;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Registro;SP;585;21;1;SUBSIDIÁRIO
Abelardo Luz;SC;Renascenca;PR;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Ribeirao Cascalheira;MT;8;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Sao Jose Do Rio Preto;SP;21;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Sao Leopoldo;RS;29;2;1;SUBSIDIÁRIO
Abelardo Luz;SC;Sao Paulo;SP;615;22;1;SUBSIDIÁRIO
Abelardo Luz;SC;Sao Valentim;RS;4;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Soledade;RS;43;2;1;SUBSIDIÁRIO
Abelardo Luz;SC;Toledo;PR;1591;57;3;SUBSIDIÁRIO
Abelardo Luz;SC;Tupi Paulista;SP;1;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Uberlandia;MG;24;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Umuarama;PR;383;14;1;SUBSIDIÁRIO
Abelardo Luz;SC;Uniao Da Vitoria;PR;3;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Vitorino;PR;63;3;1;SUBSIDIÁRIO
Abreu E Lima;PE;Camacari;BA;954;35;1;SUBSIDIÁRIO
Abreu E Lima;PE;Macaiba;RN;1;1;1;SUBSIDIÁRIO
Abreu E Lima;PE;Parnamirim;RN;30;2;1;SUBSIDIÁRIO
Acailandia;MA;Aguiarnopolis;TO;7;1;5;SUBSIDIÁRIO
Acailandia;MA;Altamira;PA;255;10;3;SUBSIDIÁRIO
Acailandia;MA;Altos;PI;7;1;1;SUBSIDIÁRIO
Acailandia;MA;Americana;SP;1;1;1;SUBSIDIÁRIO
Acailandia;MA;Ananindeua;PA;372;14;3;SUBSIDIÁRIO
Acailandia;MA;Anapolis;GO;975;35;10;SUBSIDIÁRIO
Acailandia;MA;Anapu;PA;193;7;1;SUBSIDIÁRIO
Acailandia;MA;Araguaina;TO;1255;45;13;SUBSIDIÁRIO
Acailandia;MA;Araguatins;TO;108;4;4;SUBSIDIÁRIO
Acailandia;MA;Augustinopolis;TO;22;1;1;SUBSIDIÁRIO
Acailandia;MA;Belem;PA;4340;155;4;SUBSIDIÁRIO
Acailandia;MA;Bom Jesus Do Tocantins;PA;64;3;1;SUBSIDIÁRIO
Acailandia;MA;Brasil Novo;PA;8;1;1;SUBSIDIÁRIO
Acailandia;MA;Brasilia;DF;14;1;1;SUBSIDIÁRIO
Acailandia;MA;Cajazeiras;PB;106;4;1;SUBSIDIÁRIO
Acailandia;MA;Campina Grande;PB;42;2;1;SUBSIDIÁRIO
Acailandia;MA;Campinas;SP;27;1;2;SUBSIDIÁRIO
Acailandia;MA;Campo Maior;PI;39;2;3;SUBSIDIÁRIO
Acailandia;MA;Campos Sales;CE;198;8;1;SUBSIDIÁRIO
Acailandia;MA;Castanhal;PA;701;26;4;SUBSIDIÁRIO
Acailandia;MA;Colinas Do Tocantins;TO;152;6;10;SUBSIDIÁRIO
Acailandia;MA;Crato;CE;32;2;1;SUBSIDIÁRIO
Acailandia;MA;Dom Eliseu;PA;88;4;6;SUBSIDIÁRIO
Acailandia;MA;Fortaleza;CE;2182;78;4;SUBSIDIÁRIO
Acailandia;MA;Goianesia Do Para;PA;141;6;1;SUBSIDIÁRIO
Acailandia;MA;Guarai;TO;141;6;12;SUBSIDIÁRIO
Acailandia;MA;Gurupi;TO;359;13;10;SUBSIDIÁRIO
Acailandia;MA;Ipixuna Do Para;PA;15;1;1;SUBSIDIÁRIO
Acailandia;MA;Itupiranga;PA;13;1;2;SUBSIDIÁRIO
Acailandia;MA;Jacunda;PA;43;2;1;SUBSIDIÁRIO
Acailandia;MA;Jaragua;GO;83;3;7;SUBSIDIÁRIO
Acailandia;MA;Joao Pessoa;PB;72;3;1;SUBSIDIÁRIO
Acailandia;MA;Juazeiro Do Norte;CE;311;12;1;SUBSIDIÁRIO
Acailandia;MA;Jundiai;SP;4;1;2;SUBSIDIÁRIO
Acailandia;MA;Limeira;SP;15;1;2;SUBSIDIÁRIO
Acailandia;MA;Luis Correia;PI;86;4;1;SUBSIDIÁRIO
Acailandia;MA;Mae Do Rio;PA;122;5;2;SUBSIDIÁRIO
Acailandia;MA;Maraba;PA;3546;127;7;SUBSIDIÁRIO
Acailandia;MA;Medicilandia;PA;58;3;1;SUBSIDIÁRIO
Acailandia;MA;Milagres;CE;5;1;1;SUBSIDIÁRIO
Acailandia;MA;Miranorte;TO;32;2;10;SUBSIDIÁRIO
Acailandia;MA;Missao Velha;CE;8;1;1;SUBSIDIÁRIO
Acailandia;MA;Novo Repartimento;PA;178;7;4;SUBSIDIÁRIO
Acailandia;MA;Osasco;SP;9;1;2;SUBSIDIÁRIO
Acailandia;MA;Pacaja;PA;329;12;3;SUBSIDIÁRIO
Acailandia;MA;Palmas;TO;60;3;5;SUBSIDIÁRIO
Acailandia;MA;Paragominas;PA;1998;72;3;SUBSIDIÁRIO
Acailandia;MA;Paraiso Do Tocantins;TO;234;9;11;SUBSIDIÁRIO
Acailandia;MA;Patos;PB;22;1;1;SUBSIDIÁRIO
Acailandia;MA;Picos;PI;246;9;1;SUBSIDIÁRIO
Acailandia;MA;Piripiri;PI;69;3;3;SUBSIDIÁRIO
Acailandia;MA;Placas;PA;31;2;1;SUBSIDIÁRIO
Acailandia;MA;Pombal;PB;42;2;1;SUBSIDIÁRIO
Acailandia;MA;Porangatu;GO;50;2;11;SUBSIDIÁRIO
Acailandia;MA;Ribeirao Preto;SP;31;2;2;SUBSIDIÁRIO
Acailandia;MA;Rondon Do Para;PA;311;12;4;SUBSIDIÁRIO
Acailandia;MA;Ruropolis;PA;721;26;1;SUBSIDIÁRIO
Acailandia;MA;Santa Maria Do Para;PA;43;2;1;SUBSIDIÁRIO
Acailandia;MA;Santarem;PA;228;9;1;SUBSIDIÁRIO
Acailandia;MA;Sao Luis Do Curu;CE;9;1;2;SUBSIDIÁRIO
Acailandia;MA;Sao Miguel Do Guama;PA;175;7;3;SUBSIDIÁRIO
Acailandia;MA;Sao Paulo;SP;99;4;2;SUBSIDIÁRIO
Acailandia;MA;Sobral;CE;312;12;2;SUBSIDIÁRIO
Acailandia;MA;Sorriso;MT;1;1;1;SUBSIDIÁRIO
Acailandia;MA;Sousa;PB;50;2;1;SUBSIDIÁRIO
Acailandia;MA;Teresina;PI;5386;193;7;SUBSIDIÁRIO
Acailandia;MA;Tiangua;CE;217;8;3;SUBSIDIÁRIO
Acailandia;MA;Tucurui;PA;6;1;2;SUBSIDIÁRIO
Acailandia;MA;Uberaba;MG;17;1;2;SUBSIDIÁRIO
Acailandia;MA;Uberlandia;MG;43;2;2;SUBSIDIÁRIO
Acailandia;MA;Ulianopolis;PA;14;1;1;SUBSIDIÁRIO
Acailandia;MA;Uruacu;GO;68;3;10;SUBSIDIÁRIO
Acailandia;MA;Uruara;PA;260;10;1;SUBSIDIÁRIO
Acailandia;MA;Valenca Do Piaui;PI;71;3;1;SUBSIDIÁRIO
Acaua;PI;Afranio;PE;6;1;1;SUBSIDIÁRIO
Acaua;PI;Petrolina;PE;339;13;1;SUBSIDIÁRIO
Acopiara;CE;Barreiras;BA;7;1;1;SUBSIDIÁRIO
Acopiara;CE;Ibotirama;BA;18;1;1;SUBSIDIÁRIO
Acopiara;CE;Jacobina;BA;8;1;1;SUBSIDIÁRIO
Acopiara;CE;Luis Eduardo Magalhaes;BA;21;1;1;SUBSIDIÁRIO
Acopiara;CE;Petrolina;PE;114;5;1;SUBSIDIÁRIO
Acopiara;CE;Sao Paulo;SP;1169;42;1;SUBSIDIÁRIO
Acopiara;CE;Seabra;BA;2;1;1;SUBSIDIÁRIO
Acopiara;CE;Senhor Do Bonfim;BA;8;1;1;SUBSIDIÁRIO
Acucena;MG;Sao Paulo;SP;32;2;1;SUBSIDIÁRIO
Adamantina;SP;Agua Clara;MS;67;3;2;SUBSIDIÁRIO
Adamantina;SP;Barra Mansa;RJ;5;1;1;SUBSIDIÁRIO
Adamantina;SP;Brasilandia;MS;254;10;1;SUBSIDIÁRIO
Adamantina;SP;Brasilia;DF;69;3;1;SUBSIDIÁRIO
Adamantina;SP;Campo Grande;MS;567;21;2;SUBSIDIÁRIO
Adamantina;SP;Fronteira;MG;6;1;1;SUBSIDIÁRIO
Adamantina;SP;Frutal;MG;27;1;1;SUBSIDIÁRIO
Adamantina;SP;Goiania;GO;193;7;1;SUBSIDIÁRIO
Adamantina;SP;Itumbiara;GO;25;1;1;SUBSIDIÁRIO
Adamantina;SP;Resende;RJ;451;17;1;SUBSIDIÁRIO
Adamantina;SP;Ribas Do Rio Pardo;MS;76;3;2;SUBSIDIÁRIO
Adamantina;SP;Rio De Janeiro;RJ;207;8;1;SUBSIDIÁRIO
Adamantina;SP;Tres Lagoas;MS;1695;61;2;SUBSIDIÁRIO
Adamantina;SP;Uberlandia;MG;96;4;1;SUBSIDIÁRIO
Adamantina;SP;Volta Redonda;RJ;9;1;1;SUBSIDIÁRIO
Adrianopolis;PR;Apiai;SP;678;25;1;SUBSIDIÁRIO
Adustina;BA;Sao Paulo;SP;3;1;1;SUBSIDIÁRIO
Afogados Da Ingazeira;PE;Congo;PB;368;14;1;SUBSIDIÁRIO
Afogados Da Ingazeira;PE;Monteiro;PB;27;1;1;SUBSIDIÁRIO
Afogados Da Ingazeira;PE;Ouro Velho;PB;692;25;1;SUBSIDIÁRIO
Afogados Da Ingazeira;PE;Prata;PB;7;1;1;SUBSIDIÁRIO
Afogados Da Ingazeira;PE;Sume;PB;96;4;1;SUBSIDIÁRIO
Afranio;PE;Crateus;CE;1;1;1;SUBSIDIÁRIO
Afranio;PE;Fortaleza;CE;33;2;1;SUBSIDIÁRIO
Afranio;PE;Patos Do Piaui;PI;42;2;1;SUBSIDIÁRIO
Afranio;PE;Paulistana;PI;112;4;1;SUBSIDIÁRIO
Afranio;PE;Picos;PI;1262;46;1;SUBSIDIÁRIO
Afranio;PE;Taua;CE;19;1;1;SUBSIDIÁRIO
Afranio;PE;Valenca Do Piaui;PI;90;4;1;SUBSIDIÁRIO
Agrestina;PE;Campina Grande;PB;8;1;1;SUBSIDIÁRIO
Agrestina;PE;Maceio;AL;47;2;2;SUBSIDIÁRIO
Agrestina;PE;Rio De Janeiro;RJ;1;1;1;SUBSIDIÁRIO
Agrestina;PE;Sao Jose Dos Campos;SP;1;1;1;SUBSIDIÁRIO
Agrestina;PE;Sao Paulo;SP;6;1;1;SUBSIDIÁRIO
Agua Azul Do Norte;PA;Araguaina;TO;12;1;1;SUBSIDIÁRIO
Agua Azul Do Norte;PA;Colinas Do Tocantins;TO;14;1;1;SUBSIDIÁRIO
Agua Azul Do Norte;PA;Imperatriz;MA;4;1;1;SUBSIDIÁRIO
Agua Boa;MG;Feira De Santana;BA;13;1;1;SUBSIDIÁRIO
Agua Boa;MG;Sao Paulo;SP;525;19;1;SUBSIDIÁRIO
Agua Boa;MT;Americana;SP;1;1;2;SUBSIDIÁRIO
Agua Boa;MT;Ampere;PR;3;1;1;SUBSIDIÁRIO
Agua Boa;MT;Andradina;SP;65;3;1;SUBSIDIÁRIO
Agua Boa;MT;Aparecida Do Taboado;MS;44;2;2;SUBSIDIÁRIO
Agua Boa;MT;Aragarcas;GO;2532;91;5;SUBSIDIÁRIO
Agua Boa;MT;Araraquara;SP;18;1;2;SUBSIDIÁRIO
Agua Boa;MT;Bandeirantes;MS;8;1;1;SUBSIDIÁRIO
Agua Boa;MT;Barracao;PR;9;1;1;SUBSIDIÁRIO
Agua Boa;MT;Brasilia;DF;4465;160;1;SUBSIDIÁRIO
Agua Boa;MT;Caarapo;MS;11;1;1;SUBSIDIÁRIO
Agua Boa;MT;Cacu;GO;118;5;2;SUBSIDIÁRIO
Agua Boa;MT;Caibi;SC;12;1;1;SUBSIDIÁRIO
Agua Boa;MT;Campinas;SP;28;1;2;SUBSIDIÁRIO
Agua Boa;MT;Campo Grande;MS;489;18;1;SUBSIDIÁRIO
Agua Boa;MT;Campo Mourao;PR;107;4;1;SUBSIDIÁRIO
Agua Boa;MT;Campo Novo;RS;3;1;1;SUBSIDIÁRIO
Agua Boa;MT;Capitao Leonidas Marques;PR;3;1;2;SUBSIDIÁRIO
Agua Boa;MT;Carazinho;RS;81;3;1;SUBSIDIÁRIO
Agua Boa;MT;Cascavel;PR;186;7;2;SUBSIDIÁRIO
Agua Boa;MT;Catanduva;SP;4;1;2;SUBSIDIÁRIO
Agua Boa;MT;Concordia;SC;9;1;1;SUBSIDIÁRIO
Agua Boa;MT;Coxim;MS;87;4;1;SUBSIDIÁRIO
Agua Boa;MT;Dionisio Cerqueira;SC;2;1;1;SUBSIDIÁRIO
Agua Boa;MT;Dourados;MS;363;13;1;SUBSIDIÁRIO
Agua Boa;MT;Eldorado;MS;14;1;1;SUBSIDIÁRIO
Agua Boa;MT;Erechim;RS;28;1;1;SUBSIDIÁRIO
Agua Boa;MT;Fernandopolis;SP;23;1;1;SUBSIDIÁRIO
Agua Boa;MT;Francisco Beltrao;PR;38;2;1;SUBSIDIÁRIO
Agua Boa;MT;Frederico Westphalen;RS;25;1;1;SUBSIDIÁRIO
Agua Boa;MT;Getulio Vargas;RS;8;1;1;SUBSIDIÁRIO
Agua Boa;MT;Girua;RS;6;1;1;SUBSIDIÁRIO
Agua Boa;MT;Guaira;PR;9;1;1;SUBSIDIÁRIO
Agua Boa;MT;Guaraciaba;SC;2;1;1;SUBSIDIÁRIO
Agua Boa;MT;Guaruja Do Sul;SC;4;1;1;SUBSIDIÁRIO
Agua Boa;MT;Horizontina;RS;3;1;1;SUBSIDIÁRIO
Agua Boa;MT;Ijui;RS;32;2;2;SUBSIDIÁRIO
Agua Boa;MT;Ilha Solteira;SP;73;3;1;SUBSIDIÁRIO
Agua Boa;MT;Ipora;GO;41;2;3;SUBSIDIÁRIO
Agua Boa;MT;Itaja;GO;51;2;2;SUBSIDIÁRIO
Agua Boa;MT;Itaquirai;MS;7;1;1;SUBSIDIÁRIO
Agua Boa;MT;Jales;SP;41;2;2;SUBSIDIÁRIO
Agua Boa;MT;Jatai;GO;699;25;1;SUBSIDIÁRIO
Agua Boa;MT;Jundiai;SP;4;1;2;SUBSIDIÁRIO
Agua Boa;MT;Limeira;SP;6;1;2;SUBSIDIÁRIO
Agua Boa;MT;Maravilha;SC;42;2;1;SUBSIDIÁRIO
Agua Boa;MT;Marechal Candido Rondon;PR;40;2;1;SUBSIDIÁRIO
Agua Boa;MT;Maringa;PR;214;8;1;SUBSIDIÁRIO
Agua Boa;MT;Mundo Novo;MS;23;1;1;SUBSIDIÁRIO
Agua Boa;MT;Navirai;MS;12;1;1;SUBSIDIÁRIO
Agua Boa;MT;Nova Alvorada Do Sul;MS;2;1;1;SUBSIDIÁRIO
Agua Boa;MT;Palmitinho;RS;2;1;1;SUBSIDIÁRIO
Agua Boa;MT;Palmitos;SC;9;1;1;SUBSIDIÁRIO
Agua Boa;MT;Panambi;RS;4;1;1;SUBSIDIÁRIO
Agua Boa;MT;Paranaiba;MS;121;5;2;SUBSIDIÁRIO
Agua Boa;MT;Passo Fundo;RS;64;3;1;SUBSIDIÁRIO
Agua Boa;MT;Pato Branco;PR;20;1;1;SUBSIDIÁRIO
Agua Boa;MT;Presidente Prudente;SP;97;4;1;SUBSIDIÁRIO
Agua Boa;MT;Realeza;PR;97;4;2;SUBSIDIÁRIO
Agua Boa;MT;Redencao;PA;1074;39;2;SUBSIDIÁRIO
Agua Boa;MT;Rio Brilhante;MS;10;1;1;SUBSIDIÁRIO
Agua Boa;MT;Rio Claro;SP;8;1;2;SUBSIDIÁRIO
Agua Boa;MT;Rio Verde De Mato Grosso;MS;54;2;1;SUBSIDIÁRIO
Agua Boa;MT;Rio Verde;GO;1012;37;2;SUBSIDIÁRIO
Agua Boa;MT;Santa Fe Do Sul;SP;18;1;2;SUBSIDIÁRIO
Agua Boa;MT;Santa Rosa;RS;19;1;1;SUBSIDIÁRIO
Agua Boa;MT;Santana Do Araguaia;PA;318;12;3;SUBSIDIÁRIO
Agua Boa;MT;Santo Angelo;RS;16;1;2;SUBSIDIÁRIO
Agua Boa;MT;Santo Antonio Do Sudoeste;PR;8;1;1;SUBSIDIÁRIO
Agua Boa;MT;Sao Carlos;SP;14;1;2;SUBSIDIÁRIO
Agua Boa;MT;Sao Gabriel Do Oeste;MS;71;3;1;SUBSIDIÁRIO
Agua Boa;MT;Sao Jose Do Cedro;SC;8;1;1;SUBSIDIÁRIO
Agua Boa;MT;Sao Jose Do Rio Preto;SP;66;3;2;SUBSIDIÁRIO
Agua Boa;MT;Sao Luis De Montes Belos;GO;32;2;3;SUBSIDIÁRIO
Agua Boa;MT;Sao Martinho;RS;4;1;1;SUBSIDIÁRIO
Agua Boa;MT;Sao Miguel Do Oeste;SC;44;2;1;SUBSIDIÁRIO
Agua Boa;MT;Sao Paulo;SP;82;3;2;SUBSIDIÁRIO
Agua Boa;MT;Sonora;MS;63;3;1;SUBSIDIÁRIO
Agua Boa;MT;Tenente Portela;RS;68;3;1;SUBSIDIÁRIO
Agua Boa;MT;Toledo;PR;57;3;1;SUBSIDIÁRIO
Agua Boa;MT;Tres De Maio;RS;8;1;2;SUBSIDIÁRIO
Agua Boa;MT;Tres Passos;RS;32;2;1;SUBSIDIÁRIO
Agua Boa;MT;Trindade;GO;1;1;1;SUBSIDIÁRIO
Agua Boa;MT;Tupi Paulista;SP;8;1;1;SUBSIDIÁRIO
Agua Boa;MT;Ubirata;PR;15;1;1;SUBSIDIÁRIO
Agua Boa;MT;Votuporanga;SP;12;1;2;SUBSIDIÁRIO
Agua Boa;MT;Xanxere;SC;27;1;1;SUBSIDIÁRIO
Agua Branca;PB;Caruaru;PE;1;1;1;SUBSIDIÁRIO
Agua Branca;PB;Recife;PE;16;1;1;SUBSIDIÁRIO
Agua Branca;PI;Anapolis;GO;50;2;1;SUBSIDIÁRIO
Agua Branca;PI;Bacabal;MA;3;1;1;SUBSIDIÁRIO
Agua Branca;PI;Barao De Grajau;MA;1;1;3;SUBSIDIÁRIO
Agua Branca;PI;Barreiras;BA;11;1;1;SUBSIDIÁRIO
Agua Branca;PI;Belem;PA;3;1;1;SUBSIDIÁRIO
Agua Branca;PI;Benedito Leite;MA;9;1;1;SUBSIDIÁRIO
Agua Branca;PI;Brasilia;DF;1460;53;3;SUBSIDIÁRIO
Agua Branca;PI;Capanema;PA;1;1;1;SUBSIDIÁRIO
Agua Branca;PI;Formosa Do Rio Preto;BA;1;1;1;SUBSIDIÁRIO
Agua Branca;PI;Goiania;GO;343;13;1;SUBSIDIÁRIO
Agua Branca;PI;Luis Eduardo Magalhaes;BA;41;2;1;SUBSIDIÁRIO
Agua Branca;PI;Sambaiba;MA;1;1;1;SUBSIDIÁRIO
Agua Branca;PI;Santa Ines;MA;5;1;1;SUBSIDIÁRIO
Agua Branca;PI;Ze Doca;MA;3;1;1;SUBSIDIÁRIO
Agua Clara;MS;Americana;SP;34;2;3;SUBSIDIÁRIO
Agua Clara;MS;Andradina;SP;974;35;4;SUBSIDIÁRIO
Agua Clara;MS;Aparecida;SP;11;1;1;SUBSIDIÁRIO
Agua Clara;MS;Aracatuba;SP;782;28;4;SUBSIDIÁRIO
Agua Clara;MS;Araraquara;SP;28;1;2;SUBSIDIÁRIO
Agua Clara;MS;Barra Mansa;RJ;1;1;1;SUBSIDIÁRIO
Agua Clara;MS;Bauru;SP;271;10;2;SUBSIDIÁRIO
Agua Clara;MS;Birigui;SP;194;7;4;SUBSIDIÁRIO
Agua Clara;MS;Brasilia;DF;519;19;3;SUBSIDIÁRIO
Agua Clara;MS;Cacu;GO;12;1;1;SUBSIDIÁRIO
Agua Clara;MS;Campinas;SP;507;19;3;SUBSIDIÁRIO
Agua Clara;MS;Cuiaba;MT;213;8;2;SUBSIDIÁRIO
Agua Clara;MS;Dracena;SP;238;9;2;SUBSIDIÁRIO
Agua Clara;MS;Fronteira;MG;7;1;2;SUBSIDIÁRIO
Agua Clara;MS;Frutal;MG;3;1;3;SUBSIDIÁRIO
Agua Clara;MS;Goiania;GO;863;31;4;SUBSIDIÁRIO
Agua Clara;MS;Gurupi;TO;5;1;1;SUBSIDIÁRIO
Agua Clara;MS;Itaja;GO;15;1;1;SUBSIDIÁRIO
Agua Clara;MS;Itumbiara;GO;14;1;3;SUBSIDIÁRIO
Agua Clara;MS;Jaciara;MT;1;1;2;SUBSIDIÁRIO
Agua Clara;MS;Jau;SP;24;1;2;SUBSIDIÁRIO
Agua Clara;MS;Jose Bonifacio;SP;17;1;4;SUBSIDIÁRIO
Agua Clara;MS;Jundiai;SP;16;1;3;SUBSIDIÁRIO
Agua Clara;MS;Junqueiropolis;SP;65;3;2;SUBSIDIÁRIO
Agua Clara;MS;Limeira;SP;30;2;3;SUBSIDIÁRIO
Agua Clara;MS;Lins;SP;104;4;2;SUBSIDIÁRIO
Agua Clara;MS;Lucelia;SP;13;1;2;SUBSIDIÁRIO
Agua Clara;MS;Marilia;SP;104;4;2;SUBSIDIÁRIO
Agua Clara;MS;Osvaldo Cruz;SP;83;3;2;SUBSIDIÁRIO
Agua Clara;MS;Palmas;TO;1;1;1;SUBSIDIÁRIO
Agua Clara;MS;Panorama;SP;158;6;1;SUBSIDIÁRIO
Agua Clara;MS;Parapua;SP;23;1;2;SUBSIDIÁRIO
Agua Clara;MS;Pauliceia;SP;118;5;1;SUBSIDIÁRIO
Agua Clara;MS;Penapolis;SP;176;7;4;SUBSIDIÁRIO
Agua Clara;MS;Pompeia;SP;2;1;2;SUBSIDIÁRIO
Agua Clara;MS;Prata;MG;6;1;2;SUBSIDIÁRIO
Agua Clara;MS;Rio Claro;SP;18;1;3;SUBSIDIÁRIO
Agua Clara;MS;Rio De Janeiro;RJ;104;4;1;SUBSIDIÁRIO
Agua Clara;MS;Rio Verde;GO;22;1;1;SUBSIDIÁRIO
Agua Clara;MS;Rondonopolis;MT;128;5;2;SUBSIDIÁRIO
Agua Clara;MS;Sao Carlos;SP;5;1;2;SUBSIDIÁRIO
Agua Clara;MS;Sao Jose Do Rio Preto;SP;568;21;3;SUBSIDIÁRIO
Agua Clara;MS;Sao Jose Dos Campos;SP;17;1;1;SUBSIDIÁRIO
